position;country;male;female;overall
1;Japan;84.5;87.5;81.1
2;Hong Kong;84.1;87.0;81.2
3;Singapore;83.8;85.8;81.5
4;Italy;83.6;85.5;81.7
5;Spain;83.4;86.1;80.7
6;Switzerland;83.4;85.3;81.1
7;Australia;83.3;85.3;81.3
8;Iceland;82.9;84.4;81.3
9;Israel;82.8;84.4;81.1
10;South Korea;82.8;85.8;79.7
11;Sweden;82.7;84.4;80.9
12;France;82.5;85.4;79.6
13;Malta;82.4;84.1;80.5
14;Canada;82.3;84.3;80.3
15;Norway;82.3;84.3;80.3
16;Greece;82.1;84.5;79.6
17;Ireland;82.1;83.7;80.4
18;Luxembourg;82.1;84.2;80.0
19;Netherlands;82.1;83.8;80.4
20;New Zealand;82.1;83.9;80.4
21;Portugal;81.9;84.7;78.8
22;Andorra;81.8;;
23;Finland;81.7;84.6;78.9
24;Saint Helena, Ascension and Tristan da Cunha;81.5;83.8;79.1
25;Belgium;81.5;83.8;79.1
26;Austria;81.4;83.8;79.0
27;Germany;81.2;83.6;78.8
28;Slovenia;81.2;83.9;78.4
29;United Kingdom;81.2;83.0;79.5
30;Cyprus;80.8;82.9;78.7
31;Denmark;80.8;82.8;77.8
32;Liechtenstein;80.5;;
33;Costa Rica;80.1;82.7;77.5
34;Chile;80.0;82.4;77.6
35;Czech Republic;79.2;81.8;76.6
36;Barbados;79.1;80.4;77.7
37;Lebanon;78.9;80.8;77.1
38;United States of America;78.9;81.4;76.3
39;Cuba;78.6;80.6;76.7
40;Estonia;78.6;82.4;73.9
41;Poland;78.5;82.4;74.6
42;Croatia;78.3;81.5;75.1
43;Panama;78.3;81.6;75.2
44;Turkey;78.3;81.0;75.6
45;United Arab Emirates;77.8;79.2;77.1
46;Uruguay;77.8;81.4;74.0
47;Oman;77.6;80.1;75.9
48;Slovakia;77.4;80.8;73.8
49;Bosnia and Herzegovina;77.3;79.7;74.8
50;Bahrain;77.2;78.3;76.3
51;Colombia;77.1;79.9;74.3
52;Antigua and Barbuda;76.9;78.0;75.7
53;Thailand;76.9;80.7;73.2
54;Ecuador;76.8;79.6;74.1
55;Montenegro;76.8;79.2;74.3
56;Sri Lanka;76.8;80.1;73.4
57;Algeria;76.7;77.9;75.5
58;Hungary;76.7;80.1;73.1
59;China;76.7;79.1;74.5
60;Argentina;76.5;79.9;73.1
61;Iran;76.5;77.7;75.4
62;Morocco;76.5;77.7;75.2
63;Peru;76.5;79.3;73.8
64;Tunisia;76.5;78.5;74.5
65;Malaysia;76.1;78.3;74.2
66;Saint Lucia;76.1;77.4;74.7
67;Romania;75.9;79.4;72.5
68;Serbia;75.8;78.5;73.3
69;Brazil;75.7;79.4;72.0
70;Brunei;75.7;77.0;74.6
71;Lithuania;75.7;81.2;70.1
72;Republic of North Macedonia;75.7;77.7;73.7
73;Kuwait;75.4;76.5;74.7
74;Vietnam;75.3;79.4;71.2
75;Latvia;75.2;79.9;70.1
76;Honduras;75.1;77.4;72.8
77;Mexico;75.0;77.8;72.1
78;Saudi Arabia;75.0;76.6;73.8
79;Armenia;74.9;78.4;71.2
80;Bulgaria;74.9;78.5;71.4
81;Mauritius;74.9;78.4;71.5
82;Belarus;74.6;79.4;69.4
83;Saint Kitts and Nevis;74.6;;
84;Belize;74.5;77.7;71.6
85;Jamaica;74.4;76.0;72.8
86;Jordan;74.4;76.2;72.7
87;Nicaragua;74.3;77.8;70.7
88;Guatemala;74.1;76.9;71.1
89;Paraguay;74.1;76.3;72.2
90;Dominican Republic;73.9;77.2;70.8
91;Marshall Islands;73.9;;
92;Palestine;73.9;75.6;72.3
93;Bahamas;73.8;75.9;71.5
94;Palau;73.7;;
95;Georgia;73.6;78.0;69.2
96;Trinidad and Tobago;73.4;76.1;70.8
97;Seychelles;73.3;77.3;69.8
98;Kazakhstan;76.2;77.3;68.8
99;Samoa;73.2;75.3;71.2
100;El Salvador;73.1;77.6;68.2
101;Azerbaijan;72.9;75.3;70.3
102;Cabo Verde;72.8;76.0;69.3
103;Solomon Islands;72.8;74.7;71.2
104;Libya;72.7;75.8;69.9
105;Grenada;72.4;74.9;70.1
106;Russian Federation;72.4;77.6;66.9
107;Saint Vincent and the Grenadines;72.4;75.0;70.2
108;Bangladesh;72.3;74.3;70.6
109;Venezuela;72.1;76.1;68.4
110;Ukraine;72.0;76.7;67.0
111;Egypt;71.8;74.2;69.6
112;Moldova;71.8;76.1;67.5
113;Syria;71.8;77.8;66.6
114;Suriname;71.6;74.9;68.4
115;Uzbekistan;74.6;73.7;69.4
116;Bhutan;71.5;71.8;71.1
117;Indonesia;71.5;73.7;69.4
118;Kyrgyzstan;71.3;75.5;67.3
119;Bolivia;71.2;74.2;68.4
120;Philippines;71.1;75.4;67.1
121;Tajikistan;70.9;73.2;68.7
122;Tonga;70.8;72.8;68.9
123;Iraq;70.5;72.5;68.4
124;Nepal;70.5;71.9;69.0
125;Vanuatu;70.3;72.0;68.8
126;Sao Tome and Principe;70.2;72.6;67.8
127;Guyana;69.8;73.0;66.8
128;Mongolia;69.7;74.0;65.6
129;Cambodia;69.6;71.6;67.3
130;India;69.4;70.7;68.2
131;Botswana;69.3;72.0;66.2
132;Timor Leste;69.3;71.4;67.3
133;Rwanda;68.7;70.8;66.5
134;Kiribati;68.1;72.1;64.0
135;Turkmenistan;68.1;71.6;64.6
136;Micronesia;67.8;69.5;66.1
137;Senegal;67.7;69.6;65.5
138;Laos;67.6;69.4;65.8
139;Fiji;67.3;69.2;65.6
140;Pakistan;67.1;68.1;66.2
141;Myanmar;66.9;69.9;63.8
142;Madagascar;66.7;68.3;65.1
143;Djibouti;66.6;68.8;64.6
144;Ethiopia;66.2;68.2;64.4
145;Gabon;66.2;68.9;64.2
146;Yemen;66.1;67.8;64.4
147;Eritrea;65.9;68.2;63.8
148;Sudan;65.1;66.9;63.3
149;Tanzania;65.0;66.8;63.2
150;Mauritania;64.7;66.3;63.1
151;Afghanistan;64.5;66.0;63.0
152;Congo;64.3;65.7;62.8
153;Papua New Guinea;64.3;65.6;63.0
154;Comoros;64.1;65.9;62.4
155;South Africa;63.9;67.4;60.5
156;Ghana;63.8;64.9;62.7
157;Malawi;63.8;66.9;60.7
158;Haiti;63.7;65.8;61.5
159;Liberia;63.7;65.1;62.3
160;Zambia;63.5;66.4;60.5
161;Namibia;63.4;66.2;60.4
162;Kenya;63.3;68.7;64.0
163;Uganda;63.0;65.2;60.7
164;Niger;62.0;63.2;60.9
165;Gambia;61.7;63.2;60.4
166;Benin;61.5;63.0;59.9
167;Burkina Faso;61.2;61.9;60.4
168;Burundi;61.2;63.0;59.4
169;Guinea;61.2;61.7;60.5
170;Zimbabwe;61.2;62.6;59.5
171;Angola;60.8;63.7;58.1
172;Togo;60.8;61.6;59.9
173;Congo (the Democratic Republic of the);60.4;61.9;58.9
174;Mozambique;60.2;63.0;57.1
175;Eswatini;59.4;64.0;55.3
176;Cameroon;58.9;60.2;57.7
177;Mali;58.9;59.6;58.1
178;Equatorial Guinea;58.4;59.6;57.4
179;Guinea-Bissau;58.0;59.9;56.0
180;South Sudan;57.6;59.1;56.1
181;Côte d'Ivoire;57.4;58.7;56.3
182;Nigeria;54.3;55.2;53.5
183;Sierra Leone;54.3;55.1;53.5
184;Chad;54.0;55.4;52.6
185;Lesotho;53.7;57.0;50.6
186;Central African Republic;52.8;55.0;50.6
